Jaar,Maand Lange Omschrijving,Dag,Team Naam,VHA Bekken Omschrijving,VHA Categorie Omschrijving,VHA Gewestelijke Waterloop Omschrijving,Provincie Omschrijving,Gemeente Naam,Locatie Type Naam,Sporen Waarnemingen Naam,Locatie ID,Locatie GPS Lengte,Locatie GPS Breedte,Project Naam,Project Begindatum,Project Einddatum,Registratie ID,Registratie Verwijderd Omschrijving,Maand,Maand In Jaar,Team Rol,Land_Regio,Provincie NIS Code,VHA Categorie Code,Vangst Aantal,species_name_hash
2016,JANUARI,2016-01-26,NETE NOORD,Netebekken,Onbevaarbaar cat. 2,TAPPELBEEK - HULTENBEEKJE - SCHAGGELEBEEK,Antwerpen,Zandhoven,Waterloop,Bruine rat,8996,4.67548286470668,51.239903661752,Regulier,2000-01-01,9999-12-31,10378,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,AUGUSTUS,2016-08-10,LEIE & BOVENSCHELDE,IJzerbekken,Onbevaarbaar cat. 1,KASTEELBEEK - DIKKEBUSBEEK - BOTERPLAS - MAJOORGRACHT - KASTEELGRACHT - WIELTJESGRACHT - KLEINE KEMMELBEEK - VIJVERBEEK,West-Vlaanderen,Ieper,Waterloop,Waterteunisbloem,25642,2.89253561303232,50.8486486359625,Regulier,2000-01-01,9999-12-31,103853,Verwijderd,,,,,,,,97843e3a7e4547c376d68544ac3a985e
2016,AUGUSTUS,2016-08-10,NETE NOORD,Netebekken,Onbevaarbaar cat. 2,KRAANSCHOTLOOP,Antwerpen,Kasterlee,Waterloop,Reuzenbalsemien,25652,4.9041026400985,51.2747108578509,Regulier,2000-01-01,9999-12-31,103928,Waargenomen,,,,,,,,39c0632c9769eafd2c7c83743c6e9491
2016,AUGUSTUS,2016-08-10,NETE NOORD,Netebekken,Onbevaarbaar cat. 2,KRAANSCHOTLOOP,Antwerpen,Kasterlee,Waterloop,Reuzenberenklauw,25652,4.9041026400985,51.2747108578509,Regulier,2000-01-01,9999-12-31,103928,Waargenomen,,,,,,,,9f0cdca8dac7fd79ab603b7469e8d884
2016,AUGUSTUS,2016-08-10,BRUGSE POL-GENTSE KAN,Bekken van de Gentse Kanalen,Bevaarbaar,VAART VAN EEKLO,Oost-Vlaanderen,Eeklo,Waterloop,Grote waternavel,25654,3.5479723169191,51.1780519181819,Regulier,2000-01-01,9999-12-31,103930,Verwijderd,,,,,,,,42fb43aa49d90858f66666e7560b12a3
2016,AUGUSTUS,2016-08-10,DEMER,Demerbekken,Onbevaarbaar cat. 1,MANGELBEEK  - MANGELBEEK,Limburg,Lummen,Natuurgebied,Waterteunisbloem,17210,5.17079033975543,50.9732054008964,Regulier,2000-01-01,9999-12-31,103932,Waargenomen,,,,,,,,97843e3a7e4547c376d68544ac3a985e
2016,AUGUSTUS,2016-08-09,IJZER,IJzerbekken,Onbevaarbaar cat. 1,POPERINGEVAART,West-Vlaanderen,Poperinge,Waterloop,Reuzenberenklauw,25665,2.73815854940764,50.8623151622602,Regulier,2000-01-01,9999-12-31,103963,Waargenomen,,,,,,,,9f0cdca8dac7fd79ab603b7469e8d884
2016,JANUARI,2016-01-26,MAAS ANTWERPEN,Maasbekken,Onbevaarbaar cat. 2,LEYLOOP - OSSEVENLOOP - OSSEVENNELOOP - WATERSTRAATLOOP - RETHSCHE LOOP - POPPELSCHE LEY - NIEUWE LEY,Antwerpen,Ravels,Andere,Bruine rat,9014,4.98717116115517,51.4274936833974,Regulier,2000-01-01,9999-12-31,10398,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JANUARI,2016-01-26,MAAS ANTWERPEN,Maasbekken,Onbevaarbaar cat. 3,VENNELOOP,Antwerpen,Merksplas,Andere,Bruine rat,9015,4.89521782220709,51.3564562115941,Regulier,2000-01-01,9999-12-31,10399,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JANUARI,2016-01-26,MAAS ANTWERPEN,Maasbekken,Onbevaarbaar cat. 2,GEENEINDELOOP,Antwerpen,Ravels,Andere,Bruine rat,9016,4.98925087909404,51.41152649218,Regulier,2000-01-01,9999-12-31,10400,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JANUARI,2016-01-26,SCHELDE-GENTSE KAN,Bekken van de Gentse Kanalen,Onbevaarbaar cat. 3,,Oost-Vlaanderen,Lokeren,Andere,Bruine rat,9018,3.9641557947788,51.1373649842957,Regulier,2000-01-01,9999-12-31,10403,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,JANUARI,2016-01-26,LEIE & BOVENSCHELDE,Leiebekken,Niet geklasseerd,,Oost-Vlaanderen,Deinze,Weg,Bruine rat,9024,3.56292311849731,51.004139319309,Regulier,2000-01-01,9999-12-31,10409,Niet van toepassing,,,,,,,,054232c5d688176e9ad15ab163b35dba
2016,AUGUSTUS,2016-08-11,LEIE & BOVENSCHELDE,Bovenscheldebekken,Onbevaarbaar cat. 2,SORTBEEK,Oost-Vlaanderen,Kluisbergen,Waterloop,Muskusrat,25680,3.46822386790657,50.770692573231,Regulier,2000-01-01,9999-12-31,104149,Niet van toepassing,,,,,,,,a0568ec5b768085739532dab0f4f7528
2016,AUGUSTUS,2016-08-11,NETE ZUID,Netebekken,Onbevaarbaar cat. 1,GROTE NETE - NETE,Antwerpen,Balen,Waterloop,Reuzenberenklauw,25686,5.13399244153456,51.1469233719661,Regulier,2000-01-01,9999-12-31,104202,Waargenomen,,,,,,,,9f0cdca8dac7fd79ab603b7469e8d884
